,Hand
7159,"['9♦', 'Q♦', '6♠', 'Q♠', 'Q♣']"
7160,"['Q♦', 'J♠', '3♣', '9♥', '4♦']"
7161,"['10♥', '6♥', 'K♥', '9♥', '7♥']"
7162,"['6♥', '10♠', '8♣', '3♣', 'J♦']"
7163,"['J♦', '8♦', 'A♣', 'Q♥', '8♠']"
7164,"['J♠', 'K♠', 'Q♠', '9♠', '8♥']"
7165,"['5♣', '6♣', 'Q♣', '8♠', '4♠']"
7166,"['7♦', 'J♠', '7♠', '8♥', '5♣']"
7167,"['7♠', '10♥', '8♣', '3♣', '4♦']"
7168,"['A♣', '8♠', '6♦', 'Q♥', '9♥']"
7169,"['2♠', 'K♦', 'A♦', '3♥', 'K♥']"
7170,"['4♠', 'A♥', 'Q♦', '8♣', '6♦']"
7171,"['2♥', '8♣', '2♣', '3♣', 'J♣']"
7172,"['K♣', '9♥', '4♠', '9♦', '3♠']"
7173,"['8♥', '4♠', '4♣', '10♦', '9♣']"
7174,"['8♣', '4♦', 'A♣', '7♦', '7♥']"
7175,"['9♠', 'Q♦', '2♣', '7♥', 'J♣']"
7176,"['A♣', '5♣', 'Q♦', '2♣', '5♠']"
7177,"['7♣', 'Q♠', '4♠', 'Q♥', 'K♦']"
7178,"['8♦', 'Q♣', '4♣', 'A♥', '10♥']"
7179,"['2♣', '10♣', '6♣', '4♦', '3♣']"
7180,"['J♣', '9♥', '7♣', '7♥', 'Q♠']"
7181,"['3♥', '10♥', 'K♣', '6♠', 'Q♦']"
7182,"['3♦', '6♦', '7♠', '4♦', 'A♦']"
7183,"['10♥', '7♣', 'A♣', '6♣', '5♥']"
7184,"['9♦', '6♥', '10♠', 'Q♥', '4♣']"
7185,"['Q♦', '3♠', '7♥', 'Q♠', '8♥']"
7186,"['9♣', '3♦', 'Q♠', '10♦', '5♠']"
7187,"['K♦', '3♦', 'Q♦', '6♣', '9♦']"
7188,"['K♥', '10♥', '5♣', '3♦', '9♣']"
7189,"['K♣', '3♠', '9♣', 'A♥', 'K♥']"
7190,"['3♠', '5♦', '7♠', '6♥', '2♥']"
7191,"['A♣', '7♦', '7♥', '6♠', '10♠']"
7192,"['6♠', '9♠', '9♦', '7♥', '10♠']"
7193,"['Q♦', '9♥', '6♥', '3♦', '4♣']"
7194,"['4♦', '7♦', '10♣', '10♦', 'Q♠']"
7195,"['5♣', '10♣', '6♣', '5♠', 'A♥']"
7196,"['K♣', '4♦', '5♥', '6♠', 'A♦']"
7197,"['4♥', '7♥', 'J♥', '6♣', 'A♥']"
7198,"['A♦', '10♥', '7♣', '2♦', '6♠']"
7199,"['8♣', 'A♦', '10♠', '10♣', '10♦']"
7200,"['J♥', '5♦', 'J♦', '8♣', '7♣']"
7201,"['K♠', 'K♥', '8♦', '3♣', '6♠']"
7202,"['3♠', '6♦', 'A♣', 'J♦', 'K♥']"
7203,"['6♣', '6♠', '3♥', '9♥', '7♦']"
7204,"['8♥', '3♣', 'J♠', '3♦', 'K♠']"
7205,"['9♣', 'K♠', '6♠', '2♣', 'K♦']"
7206,"['Q♦', '6♥', 'J♦', '7♣', '4♣']"
7207,"['K♠', '7♦', '8♦', '10♥', '5♠']"
7208,"['Q♦', '10♣', 'K♠', '6♠', 'J♥']"
7209,"['K♦', '10♠', '3♦', 'Q♠', '9♠']"
7210,"['Q♣', 'Q♠', '5♥', 'A♣', '7♣']"
7211,"['K♠', '4♥', 'A♣', 'A♥', 'K♦']"
7212,"['9♣', '4♥', '10♦', 'K♣', '4♠']"
7213,"['4♣', '5♦', '8♣', '6♦', '3♣']"
7214,"['A♣', '2♦', '2♣', '4♦', '7♠']"
7215,"['7♣', '10♥', '8♣', 'Q♥', '10♣']"
7216,"['10♦', '3♣', '6♣', '5♣', 'J♠']"
7217,"['3♥', 'J♠', '10♦', '3♠', '10♠']"
7218,"['J♦', '8♦', 'J♠', 'Q♣', '7♦']"
7219,"['6♠', '4♥', '10♦', '8♠', 'J♣']"
7220,"['7♥', '7♠', '3♣', '9♣', '3♥']"
7221,"['7♥', '10♣', 'J♦', '6♥', 'A♥']"
7222,"['6♥', '3♦', '4♣', 'K♠', '10♠']"
7223,"['6♠', '3♦', '2♦', 'J♣', 'A♣']"
7224,"['K♥', '4♦', '8♠', '7♠', 'Q♠']"
7225,"['8♥', '6♠', 'Q♠', '3♥', '10♥']"
7226,"['K♣', '8♥', 'J♥', '2♣', '5♦']"
7227,"['A♦', 'Q♦', '5♦', 'J♣', '3♦']"
7228,"['7♣', 'A♥', 'Q♥', '10♣', '10♠']"
7229,"['4♠', '8♦', '4♥', 'J♣', 'K♠']"
7230,"['5♥', '6♥', 'K♣', '5♠', '2♣']"
7231,"['4♣', 'A♥', '10♠', 'A♣', '5♥']"
7232,"['K♣', '5♦', '7♦', 'A♣', '8♠']"
7233,"['10♦', '4♦', 'A♦', 'Q♠', 'Q♦']"
7234,"['8♣', '6♦', '6♠', '9♠', 'J♦']"
7235,"['6♥', 'K♥', '2♦', '10♥', '3♥']"
7236,"['J♥', '4♦', '2♦', '5♠', '6♠']"
7237,"['4♠', '10♦', '6♥', '8♣', '8♥']"
7238,"['7♠', '3♠', 'Q♠', '2♦', '4♥']"
7239,"['8♥', 'J♣', '3♣', '3♥', '6♣']"
7240,"['J♥', '5♣', '6♦', '2♠', 'K♥']"
7241,"['2♥', '4♥', 'J♥', '10♠', 'J♠']"
7242,"['9♠', '10♣', 'Q♦', '10♦', '7♠']"
7243,"['4♠', 'K♥', 'A♣', 'K♣', '7♦']"
7244,"['10♦', '8♠', 'Q♥', 'A♥', '6♠']"
7245,"['A♥', '10♥', 'J♣', '2♥', '5♥']"
7246,"['Q♠', '5♥', '6♣', '7♦', 'Q♥']"
7247,"['A♣', 'K♦', '2♣', '7♥', '9♦']"
7248,"['2♣', '7♥', 'K♦', 'J♠', '7♦']"
7249,"['K♠', '3♦', 'A♥', 'K♥', 'Q♣']"
7250,"['3♦', '4♣', 'K♦', '6♦', '8♠']"
7251,"['8♥', '2♠', '7♥', '10♥', '9♥']"
7252,"['J♥', '3♠', '6♥', '10♦', '2♣']"
7253,"['2♥', '7♦', '3♣', '8♥', '10♥']"
7254,"['10♦', '7♦', '9♠', '9♦', 'K♦']"
7255,"['8♦', 'A♣', '10♣', '10♥', 'J♠']"
7256,"['10♠', '6♦', 'K♦', 'K♣', '9♦']"
7257,"['5♥', '10♥', '4♦', 'J♠', '3♥']"
7258,"['A♥', '8♠', '10♦', '6♦', 'J♠']"
7259,"['3♦', '9♣', '2♣', 'J♣', '4♣']"
7260,"['J♦', '3♠', '8♥', 'Q♥', '4♠']"
7261,"['10♣', '3♥', 'Q♥', 'K♣', '7♠']"
7262,"['4♣', '10♥', '9♦', 'Q♣', 'K♣']"
7263,"['A♣', '5♣', '5♥', '7♠', '6♦']"
7264,"['10♥', '10♠', '8♥', '10♣', 'K♠']"
7265,"['K♥', 'A♦', '9♥', '6♥', '4♦']"
7266,"['9♠', '10♠', 'Q♣', '5♦', '8♥']"
7267,"['A♦', '10♥', '6♥', '8♣', 'K♥']"
7268,"['A♣', '5♠', '9♠', 'Q♦', 'J♥']"
7269,"['Q♣', '2♠', 'J♣', 'Q♥', 'A♦']"
7270,"['A♥', '7♥', 'K♥', '9♠', '8♠']"
7271,"['2♣', '3♥', '5♠', '3♦', '2♠']"
7272,"['A♥', '6♥', 'K♣', '2♦', '4♦']"
7273,"['9♠', 'J♣', '4♠', '3♥', '10♣']"
7274,"['J♠', '5♣', '9♥', 'Q♣', 'Q♦']"
7275,"['4♠', '9♣', '8♣', 'K♣', '3♠']"
7276,"['4♠', '3♦', '6♥', '2♣', '3♣']"
7277,"['A♣', '5♣', 'J♥', '7♥', '4♣']"
7278,"['6♥', 'J♣', '5♣', '7♣', '6♣']"
7279,"['3♥', 'A♥', 'K♣', '2♣', '5♣']"
7280,"['9♦', '6♠', '7♦', '6♥', '8♦']"
7281,"['K♣', '8♣', '4♥', '8♦', '6♠']"
7282,"['2♥', '7♦', '3♦', 'A♣', 'Q♦']"
7283,"['4♠', '8♥', '5♠', '7♠', '6♦']"
7284,"['Q♥', 'K♦', '5♠', '8♦', 'Q♣']"
7285,"['4♠', '10♠', '9♦', '2♣', '2♠']"
7286,"['9♥', '8♦', 'Q♠', 'K♣', '2♣']"
7287,"['9♠', '8♥', '4♥', '10♦', '8♦']"
7288,"['9♥', '10♦', '9♣', '8♣', '4♣']"
7289,"['K♦', '10♦', '2♥', '10♣', '2♦']"
7290,"['6♦', '9♥', 'K♣', '7♥', '4♦']"
7291,"['2♣', '3♦', '4♠', '7♣', 'K♠']"
7292,"['5♠', 'J♦', 'K♥', 'K♣', '10♣']"
7293,"['9♦', '8♠', 'K♣', '2♦', '3♥']"
7294,"['J♥', 'A♦', '9♣', '10♣', 'Q♣']"
7295,"['8♣', 'A♦', '4♣', '4♠', '7♦']"
7296,"['2♥', '7♣', 'K♣', '6♥', 'J♠']"
7297,"['J♣', '9♦', '6♠', '2♠', '8♥']"
7298,"['5♦', 'J♣', 'K♠', '5♥', 'A♣']"
7299,"['4♣', '6♦', '8♥', '3♥', '7♦']"
7300,"['2♦', '4♣', '6♣', 'A♣', 'J♥']"
7301,"['8♠', '6♦', '10♣', 'A♣', '3♠']"
7302,"['3♥', '2♦', '2♣', '8♥', '8♣']"
7303,"['K♦', '10♦', '6♦', 'K♥', '5♦']"
7304,"['6♥', 'A♥', '5♣', '3♥', '9♥']"
7305,"['4♥', 'J♣', '9♥', '4♦', 'Q♠']"
7306,"['J♥', '10♦', 'J♠', '9♦', '9♥']"
7307,"['6♠', 'K♣', '4♦', '2♣', 'J♠']"
7308,"['K♦', '8♣', 'A♣', '8♥', '5♠']"
7309,"['6♣', '3♦', 'J♦', 'A♥', 'K♣']"
7310,"['8♠', '6♥', '9♦', 'A♥', '6♣']"
7311,"['9♣', 'J♠', '4♦', '3♥', '10♥']"
7312,"['9♠', '10♥', 'K♠', '9♥', 'K♥']"
7313,"['10♠', '6♣', 'A♣', '5♣', 'K♥']"
7314,"['J♦', '5♥', 'K♥', 'J♣', '3♥']"
7315,"['K♠', '6♠', '3♥', '7♦', 'K♣']"
7316,"['9♣', '4♦', 'Q♣', '3♦', 'J♥']"
7317,"['4♣', '7♦', 'Q♣', 'Q♠', '4♦']"
7318,"['3♥', 'K♠', '5♦', '9♦', 'A♦']"
7319,"['Q♠', '4♣', 'J♦', '2♦', '2♠']"
7320,"['7♣', 'Q♥', 'Q♦', '2♥', 'A♥']"
7321,"['10♥', '6♥', '5♣', 'A♦', 'K♣']"
7322,"['J♥', '7♦', '5♣', 'K♥', '2♥']"
7323,"['3♠', 'J♠', '4♠', '5♠', '7♦']"
7324,"['8♥', '6♣', '4♣', '10♦', '2♦']"
7325,"['10♥', '10♣', '6♠', '3♥', 'K♥']"
7326,"['Q♣', '2♦', '7♥', '10♦', '4♣']"
7327,"['5♠', '6♦', 'K♦', '5♣', '9♣']"
7328,"['8♥', '3♥', '9♠', 'K♠', '2♦']"
7329,"['4♥', 'K♥', 'K♠', '10♥', '7♥']"
7330,"['6♠', '10♠', '2♥', 'K♣', 'Q♦']"
7331,"['3♠', 'J♥', '8♣', 'K♣', '10♠']"
7332,"['6♠', 'Q♦', 'A♥', 'K♣', '3♦']"
7333,"['7♠', 'Q♠', 'A♣', '2♦', '6♦']"
7334,"['8♠', '3♥', '3♦', '10♦', '8♥']"
7335,"['10♠', '7♦', '4♦', '4♣', '9♠']"
7336,"['5♦', 'J♣', 'J♥', '7♣', '10♥']"
7337,"['5♠', 'J♥', '7♣', '4♣', '10♥']"
7338,"['A♥', '7♠', '5♦', '2♥', '4♠']"
7339,"['8♥', 'J♥', 'A♦', '9♣', '2♦']"
7340,"['K♦', '3♠', 'K♥', '10♠', '6♠']"
7341,"['Q♦', '8♠', 'J♠', '2♠', 'A♣']"
7342,"['4♠', '9♠', '4♦', 'A♦', '8♥']"
7343,"['K♦', '8♠', 'Q♥', 'K♠', 'Q♠']"
7344,"['5♦', '9♥', '5♥', '8♣', 'J♠']"
7345,"['5♠', '6♠', '7♥', '5♦', '4♦']"
7346,"['8♣', '10♠', '8♥', 'K♥', '2♠']"
7347,"['8♠', '8♦', '9♦', 'J♥', '2♥']"
7348,"['2♥', '3♠', '9♣', '3♣', '7♦']"
7349,"['4♠', '6♥', 'K♣', 'K♠', '6♦']"
7350,"['6♥', '3♦', 'J♥', '5♥', '2♠']"
7351,"['4♦', '10♥', 'J♥', '7♦', '5♣']"
7352,"['3♣', 'K♦', '8♥', '10♦', '5♥']"
7353,"['3♦', '5♥', '4♣', 'Q♣', '2♦']"
7354,"['8♣', '7♣', '2♥', '8♥', '5♣']"
7355,"['A♥', '10♠', '10♣', '5♦', 'K♦']"
7356,"['Q♠', '8♣', 'K♦', '6♠', 'A♥']"
7357,"['Q♦', '8♦', 'J♣', '8♣', 'Q♠']"
7358,"['8♠', 'K♣', 'K♦', '10♣', '4♥']"
7359,"['7♣', '4♣', 'J♣', '8♦', '2♥']"
7360,"['K♠', 'J♣', 'K♣', 'A♣', 'J♠']"
7361,"['2♦', 'K♥', '8♣', 'A♦', 'Q♥']"
7362,"['5♣', '6♥', 'J♥', 'K♠', '3♣']"
7363,"['A♣', '7♥', '6♣', 'J♦', '6♦']"
7364,"['7♣', '6♥', '5♥', '6♠', '3♥']"
7365,"['8♣', '4♦', 'A♥', 'Q♦', 'J♣']"
7366,"['3♠', 'J♣', '9♦', '2♥', '2♠']"
7367,"['8♠', '6♥', '9♣', '9♠', 'Q♣']"
7368,"['7♥', '3♦', '8♥', '4♠', '5♣']"
7369,"['A♦', '7♣', 'J♣', 'Q♣', '10♦']"
7370,"['9♦', 'Q♠', '10♠', '5♠', '2♦']"
7371,"['A♦', '4♠', '8♥', '5♣', '7♥']"
7372,"['4♦', 'K♦', '10♦', 'K♣', 'A♣']"
7373,"['7♥', 'Q♦', 'J♦', '3♣', '9♥']"
7374,"['7♥', 'A♦', '9♦', '7♠', '5♣']"
7375,"['6♦', '7♥', '8♥', 'A♦', 'J♥']"
7376,"['J♠', '8♣', 'A♥', 'K♣', '6♣']"
7377,"['Q♠', '8♦', 'J♣', 'J♦', '3♦']"
7378,"['A♣', '5♠', 'K♠', 'J♣', 'A♦']"
7379,"['3♠', '7♥', 'J♠', 'K♦', '8♦']"
7380,"['4♣', '8♦', '7♥', 'K♣', '7♣']"
7381,"['4♥', 'A♣', '7♥', 'A♦', 'J♣']"
7382,"['7♣', '8♠', 'Q♠', 'A♣', '4♦']"
7383,"['4♦', '9♠', '4♣', '8♣', '2♠']"
7384,"['10♣', '5♠', 'J♣', 'K♣', 'A♣']"
7385,"['4♠', '2♣', '2♥', 'J♥', '6♥']"
7386,"['A♦', '4♠', '8♥', '4♦', 'K♣']"
7387,"['Q♣', '7♠', '7♣', '10♠', 'Q♥']"
7388,"['9♥', 'J♣', '5♠', '2♦', '5♣']"
7389,"['A♣', '6♦', '2♣', '8♠', '7♦']"
7390,"['5♣', '10♠', '2♣', '7♦', '3♠']"
7391,"['5♣', 'J♥', '2♣', '4♥', '2♥']"
7392,"['8♦', '2♠', 'A♦', '5♣', '3♠']"
7393,"['2♥', '3♠', '10♠', 'A♦', 'K♥']"
7394,"['8♠', '10♦', '10♣', '3♦', '7♠']"
7395,"['4♥', 'Q♦', '5♣', '2♠', '4♦']"
7396,"['8♣', '3♣', 'K♠', '4♦', '10♠']"
7397,"['A♥', '4♦', 'K♥', 'A♦', '10♦']"
7398,"['6♠', '7♠', '8♣', '9♣', '9♠']"
7399,"['2♥', 'K♥', '3♣', '3♥', '10♥']"
7400,"['K♣', '2♦', 'J♥', '7♥', '5♦']"
7401,"['6♦', '2♠', '4♣', 'J♠', '9♠']"
7402,"['Q♦', '8♣', '3♦', 'J♣', '10♦']"
7403,"['5♠', '5♥', '5♦', '8♦', 'J♣']"
7404,"['9♣', 'J♦', 'A♥', 'A♣', '7♠']"
7405,"['9♠', '2♣', 'K♦', '4♥', 'J♣']"
7406,"['9♣', '6♦', '2♦', 'Q♠', '9♥']"
7407,"['A♥', 'A♦', '5♥', '4♥', '5♠']"
7408,"['3♣', '6♥', '6♣', '9♠', 'J♦']"
7409,"['4♦', 'K♣', '6♦', 'Q♣', '5♣']"
7410,"['8♦', '5♠', 'J♦', '8♥', '3♠']"
7411,"['5♦', 'A♥', 'Q♠', 'K♥', 'K♠']"
7412,"['8♠', '3♠', 'A♣', '10♦', 'J♠']"
7413,"['Q♠', '4♥', '7♠', '5♦', '3♣']"
7414,"['Q♣', '4♦', '8♣', '4♣', '6♣']"
7415,"['5♠', 'J♠', '10♠', 'J♣', '8♦']"
7416,"['Q♥', 'A♥', 'A♦', '2♦', 'K♣']"
7417,"['J♣', 'Q♦', '3♠', 'J♠', '2♦']"
7418,"['4♣', '5♦', 'K♣', 'J♥', 'A♦']"
7419,"['3♦', 'K♠', '8♥', 'Q♦', '3♣']"
7420,"['5♥', '5♠', '6♦', '9♣', 'K♦']"
7421,"['J♣', '6♣', '3♠', 'A♣', '10♥']"
7422,"['8♦', '8♠', '4♥', '4♦', '10♦']"
7423,"['Q♣', '3♠', 'Q♥', '8♠', '7♣']"
7424,"['2♥', '7♣', '7♥', '6♦', '3♥']"
7425,"['Q♠', '4♣', '8♥', '9♠', '6♣']"
7426,"['J♣', '9♣', 'J♦', 'A♥', '9♠']"
7427,"['9♥', '4♥', 'A♦', 'K♥', 'A♣']"
7428,"['A♦', '3♣', 'K♥', 'J♣', 'Q♠']"
7429,"['2♠', '9♥', 'A♣', '4♦', 'A♦']"
7430,"['A♣', '5♥', 'J♥', '3♠', 'Q♠']"
7431,"['Q♥', '4♦', 'A♥', '9♥', '9♦']"
7432,"['8♠', '7♥', '2♣', '2♥', '9♣']"
7433,"['2♦', 'J♥', '10♥', '8♥', '10♠']"
7434,"['2♣', '3♥', 'A♥', '7♣', '3♣']"
7435,"['2♦', '8♥', '8♣', '6♣', '4♥']"
7436,"['K♥', 'K♦', '3♣', 'J♥', 'A♦']"
7437,"['J♥', 'Q♥', '5♠', '3♥', '8♥']"
7438,"['8♦', '7♥', '2♠', '2♦', 'K♣']"
7439,"['2♥', '5♣', '7♣', '10♦', 'A♦']"
7440,"['5♠', 'A♦', '3♥', '8♥', '6♠']"
7441,"['4♥', 'J♠', '8♥', '9♠', '6♥']"
7442,"['7♣', '7♦', '9♥', '8♠', '2♠']"
7443,"['K♦', '9♠', '9♣', '5♦', '3♣']"
7444,"['7♠', '6♣', '4♣', '4♥', '8♥']"
7445,"['Q♠', '8♦', '10♣', '3♥', '10♠']"
7446,"['J♣', '5♥', 'J♦', '7♣', '3♥']"
7447,"['5♦', '7♥', 'J♠', '2♦', 'J♥']"
7448,"['9♣', 'J♦', '6♠', '10♣', 'J♣']"
7449,"['6♣', '4♣', '2♦', '4♠', '7♦']"
7450,"['6♠', 'A♣', '10♦', '8♥', '4♠']"
7451,"['3♦', '8♦', '10♠', '6♦', 'K♥']"
7452,"['6♣', '2♦', '3♣', '2♠', '7♠']"
7453,"['9♣', '9♦', 'Q♠', '7♥', '6♣']"
7454,"['4♥', '3♦', '10♥', 'J♣', 'K♥']"
7455,"['3♦', 'Q♥', '9♥', 'A♣', '6♦']"
7456,"['4♦', '9♥', '9♦', 'K♣', '5♦']"
7457,"['7♦', 'K♠', '7♣', '6♥', '5♦']"
7458,"['5♠', '6♣', 'J♦', '9♣', 'J♣']"
7459,"['Q♠', '3♦', 'K♥', 'Q♥', '2♠']"
7460,"['8♦', '3♥', 'Q♥', 'Q♦', '6♣']"
7461,"['9♥', '10♠', '9♦', '9♠', '8♠']"
7462,"['Q♥', 'A♦', '9♥', '5♦', 'Q♣']"
7463,"['7♣', '3♣', 'J♣', '9♥', 'K♠']"
7464,"['8♥', 'J♣', '10♠', 'J♦', '5♥']"
7465,"['7♣', 'Q♣', 'J♥', 'J♠', 'Q♦']"
7466,"['7♣', 'Q♥', '6♦', '10♥', '5♦']"
7467,"['J♥', '8♦', 'A♣', '3♠', '4♣']"
7468,"['7♥', 'A♣', '7♦', '4♣', '10♦']"
7469,"['5♣', '3♥', 'Q♥', '8♥', '6♥']"
7470,"['2♠', 'K♦', '3♠', '3♣', '2♣']"
7471,"['A♥', '3♣', '9♣', '7♣', '6♥']"
7472,"['K♠', 'A♦', 'K♣', '8♠', '2♠']"
7473,"['2♣', '3♥', '3♦', '3♠', '2♥']"
7474,"['5♠', '10♦', 'K♣', 'Q♥', '8♦']"
7475,"['6♣', 'Q♦', '5♣', '3♦', 'Q♣']"
7476,"['A♦', '4♣', '6♦', '2♠', 'J♥']"
7477,"['8♠', '6♣', '5♣', '8♦', '5♥']"
7478,"['10♣', 'K♠', '7♣', 'J♥', '10♠']"
7479,"['3♥', '7♣', '9♠', '10♥', '5♦']"
7480,"['3♥', 'Q♣', '2♥', '6♦', '7♣']"
7481,"['10♠', '3♦', '2♥', 'Q♣', '8♣']"
7482,"['4♦', '9♣', '2♣', '9♥', 'K♦']"
7483,"['8♥', '6♦', '4♦', '9♣', 'K♠']"
7484,"['3♦', '7♦', 'A♥', 'Q♦', '10♦']"
7485,"['5♣', '4♥', '8♣', '10♣', 'Q♦']"
7486,"['4♥', 'Q♦', '9♦', '7♥', 'J♠']"
7487,"['J♥', 'J♠', '5♦', '7♣', '2♥']"
7488,"['J♥', '5♦', '10♥', 'A♦', '6♥']"
7489,"['6♣', '3♥', '3♦', '4♥', '5♦']"
7490,"['6♣', '2♥', '9♣', 'A♣', '6♦']"
7491,"['7♠', 'Q♠', '4♥', '5♦', '3♥']"
7492,"['5♣', '9♦', '6♣', 'J♥', '6♠']"
7493,"['4♦', 'Q♣', 'A♥', '4♠', '4♥']"
7494,"['3♠', '7♦', 'Q♠', 'Q♣', '3♥']"
7495,"['Q♥', '2♠', '8♥', '5♣', '3♦']"
7496,"['4♦', '5♦', '4♠', '8♠', 'Q♥']"
7497,"['8♦', '2♠', 'Q♥', '4♠', 'A♣']"
7498,"['Q♠', 'Q♦', '5♦', '9♣', '3♥']"
7499,"['A♦', 'J♣', '10♣', '6♠', 'K♣']"
7500,"['J♠', '7♠', '9♦', 'A♦', '9♣']"
7501,"['6♦', 'A♥', '10♦', '7♥', 'K♠']"
7502,"['6♥', 'K♣', '2♥', '3♥', '5♦']"
7503,"['A♦', 'J♣', '5♦', '4♣', '6♦']"
7504,"['3♥', '9♦', '4♣', '6♣', '7♦']"
7505,"['A♣', 'A♥', '5♣', '10♣', '7♦']"
7506,"['A♣', '4♦', 'K♥', '2♥', '2♦']"
7507,"['5♦', '7♥', 'A♥', '9♠', '5♣']"
7508,"['K♣', '10♥', '3♦', '2♥', '7♠']"
7509,"['10♥', '3♥', '2♦', '4♦', '6♣']"
7510,"['7♠', 'A♣', '10♣', '2♣', 'A♦']"
7511,"['7♠', 'A♣', '7♥', '3♥', 'J♦']"
7512,"['J♥', '7♠', 'Q♠', 'Q♦', 'K♠']"
7513,"['6♦', 'K♥', '9♠', '6♣', 'J♥']"
7514,"['J♣', '6♦', '9♥', '2♠', 'J♥']"
7515,"['8♠', 'J♦', '9♠', '3♥', 'J♣']"
7516,"['2♠', 'Q♠', '3♠', '6♦', '10♥']"
7517,"['5♣', '2♣', '3♣', '8♦', '2♦']"
7518,"['K♠', '6♥', '9♠', '5♦', '5♠']"
7519,"['3♠', '7♥', 'K♦', '6♦', '2♦']"
7520,"['3♥', 'J♣', '9♠', '5♠', '8♠']"
7521,"['8♥', 'J♠', '3♣', '9♠', '3♦']"
7522,"['5♠', '2♠', '5♣', '8♥', '7♦']"
7523,"['A♣', '9♣', 'Q♣', '6♣', '4♣']"
7524,"['K♥', '7♣', '4♥', '4♣', 'K♠']"
7525,"['10♣', 'K♦', '8♥', 'A♣', '6♣']"
7526,"['4♣', '5♦', '10♦', 'J♥', '3♦']"
7527,"['9♥', '7♦', '6♣', '5♠', 'J♥']"
7528,"['4♦', '7♥', '3♠', '7♠', 'Q♥']"
7529,"['10♦', '6♥', '3♥', '10♠', 'K♠']"
7530,"['3♥', '10♦', '6♥', '3♠', '4♣']"
7531,"['6♥', '9♦', '6♣', '2♠', 'K♣']"
7532,"['K♣', '5♥', '6♣', '9♣', '2♦']"
7533,"['10♥', 'K♦', 'K♣', '5♥', '10♦']"
7534,"['7♦', '7♠', '3♦', '3♣', '10♥']"
7535,"['9♦', '2♥', '4♦', '6♠', '9♣']"
7536,"['K♠', '3♦', 'J♥', '2♥', '9♥']"
7537,"['8♠', '3♦', 'K♠', '2♦', '6♣']"
7538,"['3♣', '10♥', '6♠', '10♠', '9♠']"
7539,"['9♣', 'J♣', '8♥', 'Q♥', '9♥']"
7540,"['9♠', '3♠', 'Q♣', '10♣', 'A♣']"
7541,"['Q♦', '4♥', '5♣', '9♥', '2♥']"
7542,"['8♦', '2♣', '4♥', 'J♣', 'K♦']"
7543,"['4♠', 'J♠', '8♠', '2♦', '5♥']"
7544,"['10♦', '2♦', '10♥', '8♠', '10♠']"
7545,"['5♠', '6♣', 'Q♠', '2♥', '10♠']"
7546,"['A♣', '3♣', '6♣', '6♠', '7♦']"
7547,"['9♦', 'K♠', 'J♥', '10♠', '10♦']"
7548,"['5♦', '6♦', 'J♠', '5♥', '4♣']"
7549,"['10♦', '8♣', 'K♦', '6♣', '6♦']"
7550,"['4♠', 'K♠', '7♥', '10♣', '3♦']"
7551,"['8♥', '5♥', 'Q♣', '7♠', '5♠']"
7552,"['9♠', '3♣', '6♦', '8♠', '7♣']"
7553,"['J♥', '6♥', '10♣', '8♥', '5♣']"
7554,"['J♦', '9♦', '2♥', 'A♣', 'K♥']"
7555,"['9♣', '6♠', '9♠', '3♣', '3♠']"
7556,"['K♦', '6♥', '5♥', '6♠', '4♠']"
7557,"['3♣', '5♣', '4♥', '7♦', '10♣']"
7558,"['8♦', '9♠', 'J♣', 'A♣', '6♠']"
7559,"['Q♦', 'Q♠', 'J♥', '7♦', '9♦']"
7560,"['3♦', 'K♦', 'K♠', 'K♥', '6♦']"
7561,"['Q♥', '6♠', '5♠', '7♠', '5♥']"
7562,"['K♠', '2♣', '10♠', '8♥', '4♥']"
7563,"['9♥', '7♠', '4♥', '2♠', '4♠']"
7564,"['7♣', 'Q♣', '3♥', '3♠', '4♣']"
7565,"['3♠', 'K♥', '5♦', '10♦', 'K♦']"
7566,"['3♥', '8♣', '8♠', '3♠', 'A♥']"
7567,"['7♦', '3♠', '6♥', '2♣', '10♣']"
7568,"['J♠', '7♣', '5♦', '10♣', '9♠']"
7569,"['J♦', '9♠', '6♠', '4♣', '3♠']"
7570,"['9♥', '7♠', 'K♥', '5♣', 'J♥']"
7571,"['10♣', 'A♣', '8♦', '3♥', 'A♥']"
7572,"['3♠', 'Q♥', '9♠', 'A♥', 'A♣']"
7573,"['J♥', '4♦', 'J♦', '6♥', '9♦']"
7574,"['6♠', '8♦', 'J♠', '4♥', '10♣']"
7575,"['3♠', '7♣', 'Q♣', '9♠', '7♠']"
7576,"['2♦', '6♦', '4♥', '8♥', 'J♥']"
7577,"['8♣', '3♦', '4♦', '9♦', '2♥']"
7578,"['K♣', 'K♦', '2♠', 'Q♦', '3♥']"
7579,"['J♣', '4♠', '7♥', 'Q♠', '2♥']"
7580,"['4♠', 'K♦', '2♠', 'A♣', '2♣']"
7581,"['8♠', '7♠', '7♥', '6♥', '5♥']"
7582,"['4♠', '4♥', '2♥', '3♠', '9♠']"
7583,"['K♠', '8♠', '5♣', '10♣', '7♥']"
7584,"['A♦', '7♥', '3♠', 'J♦', 'K♠']"
7585,"['7♠', '6♥', '2♣', '7♥', '10♠']"
7586,"['K♠', '8♣', '3♥', '6♦', 'K♦']"
7587,"['7♣', '6♥', '10♦', 'J♦', '7♥']"
7588,"['5♥', 'A♦', '8♥', '8♦', '9♦']"
